"order_id","order_status","distance_to_customer","distance_rider_from_store","delivery_service_level","rider_arrived_at_pickup_time","order_ready_for_pickup_time","order_pickup_done_time","order_delivered_time"
2279022,20,3.47,1.76,2,2024-12-14 17:06:19.661 +0800,2024-12-14 14:17:39.292 +0800,2024-12-14 17:06:20.665 +0800,2024-12-14 17:28:04.639 +0800
2279023,20,8.63,4.77,2,2024-12-14 11:15:03.817 +0800,2024-12-14 08:51:53.350 +0800,2024-12-14 11:15:04.890 +0800,2024-12-14 11:59:36.312 +0800
2279024,20,2.84,2.44,3,2024-12-14 17:54:10.859 +0800,2024-12-14 16:06:43.819 +0800,2024-12-14 17:54:12.141 +0800,2024-12-14 18:53:34.416 +0800
2279025,20,1.26,0.94,2,2024-12-14 09:15:20.921 +0800,2024-12-14 08:37:55.799 +0800,2024-12-14 09:29:59.023 +0800,2024-12-14 09:38:00.012 +0800
2279026,20,3.64,2.44,3,2024-12-14 10:45:12.169 +0800,2024-12-14 09:51:22.814 +0800,2024-12-14 10:53:22.347 +0800,2024-12-14 11:07:56.931 +0800
2279028,20,2.74,2.12,2,2024-12-14 15:39:04.834 +0800,2024-12-14 13:43:55.104 +0800,2024-12-14 15:39:07.590 +0800,2024-12-14 16:15:07.867 +0800
2279029,20,1.56,1.02,2,2024-12-14 16:04:12.009 +0800,2024-12-14 14:17:55.924 +0800,2024-12-14 16:04:12.976 +0800,2024-12-14 16:14:49.523 +0800
2279030,20,2.59,0.76,3,2024-12-14 12:47:21.596 +0800,2024-12-14 11:49:39.855 +0800,2024-12-14 12:47:23.809 +0800,2024-12-14 15:36:28.182 +0800
2279033,20,5.93,2.12,3,2024-12-14 11:27:37.060 +0800,2024-12-14 08:43:19.982 +0800,2024-12-14 11:27:38.330 +0800,2024-12-14 11:51:48.898 +0800
2279034,20,2.61,2.06,2,2024-12-14 08:46:20.225 +0800,2024-12-14 08:29:39.257 +0800,2024-12-14 08:46:21.484 +0800,2024-12-14 08:52:56.304 +0800
2279035,30,7.73,5.53,,,,,
2279036,20,10.13,7.06,3,2024-12-14 11:25:27.407 +0800,2024-12-14 11:19:40.173 +0800,2024-12-14 11:25:30.268 +0800,2024-12-14 12:45:02.506 +0800
2279037,20,5.98,4.48,3,2024-12-14 10:46:44.873 +0800,2024-12-14 09:07:25.139 +0800,2024-12-14 10:46:46.242 +0800,2024-12-14 11:29:00.194 +0800
2279038,20,12.26,7.4,2,2024-12-14 13:03:19.088 +0800,2024-12-14 12:27:43.379 +0800,2024-12-14 13:03:20.000 +0800,2024-12-14 13:58:46.971 +0800
2279039,20,4.49,3.01,3,2024-12-14 11:26:33.828 +0800,2024-12-14 09:17:45.694 +0800,2024-12-14 11:26:34.947 +0800,2024-12-14 11:36:55.203 +0800
2279040,20,6.93,3.94,2,2024-12-14 09:04:00.187 +0800,2024-12-14 08:39:48.719 +0800,2024-12-14 09:04:01.429 +0800,2024-12-14 09:35:46.622 +0800
2279041,30,4.29,2.99,,,,,
2279045,20,4.35,2.94,2,2024-12-14 11:19:07.666 +0800,2024-12-14 11:44:55.695 +0800,2024-12-14 12:13:05.718 +0800,2024-12-14 12:40:14.797 +0800
2279046,20,5.57,5.18,2,2024-12-14 09:35:31.056 +0800,2024-12-14 08:23:24.995 +0800,2024-12-14 09:38:53.127 +0800,2024-12-14 09:53:51.227 +0800
2279047,20,3.85,2.82,2,2024-12-14 12:11:13.133 +0800,2024-12-14 11:51:05.977 +0800,2024-12-14 12:47:15.457 +0800,2024-12-14 13:05:44.885 +0800
2279048,20,3.38,1.57,2,2024-12-14 09:20:58.452 +0800,2024-12-14 08:45:59.405 +0800,2024-12-14 09:34:15.003 +0800,2024-12-14 09:45:03.554 +0800
2279049,20,2.26,1.68,2,2024-12-14 09:35:38.564 +0800,2024-12-14 09:18:04.643 +0800,2024-12-14 09:35:45.628 +0800,2024-12-14 10:17:04.352 +0800
2279050,20,4.93,3.23,2,2024-12-14 10:05:38.870 +0800,2024-12-14 09:31:04.293 +0800,2024-12-14 10:05:47.181 +0800,2024-12-14 10:36:47.512 +0800
2279051,20,2.7,1.4,2,2024-12-14 08:17:44.074 +0800,2024-12-14 08:37:57.272 +0800,2024-12-14 08:56:42.541 +0800,2024-12-14 09:07:28.313 +0800
2279052,20,6.99,3.06,1,2024-12-14 09:01:54.625 +0800,2024-12-14 08:37:15.784 +0800,2024-12-14 09:01:56.183 +0800,2024-12-14 09:40:39.980 +0800
2279054,20,8.63,3.24,2,2024-12-14 09:11:15.699 +0800,2024-12-14 09:00:32.785 +0800,2024-12-14 09:11:17.054 +0800,2024-12-14 09:38:58.636 +0800
2279055,20,3.72,2.34,3,2024-12-14 12:55:22.186 +0800,2024-12-14 12:11:48.800 +0800,2024-12-14 12:55:23.422 +0800,2024-12-14 14:10:00.390 +0800
2279056,20,11.37,7.56,2,2024-12-14 09:47:25.738 +0800,2024-12-14 09:15:23.826 +0800,2024-12-14 09:47:27.044 +0800,2024-12-14 10:50:12.744 +0800
2279057,20,3.59,1.89,3,2024-12-14 15:11:54.334 +0800,2024-12-14 13:46:19.860 +0800,2024-12-14 15:11:55.409 +0800,2024-12-14 15:35:07.291 +0800
2279058,20,1.15,1.05,2,2024-12-14 09:13:30.643 +0800,2024-12-14 09:56:58.861 +0800,2024-12-14 10:07:45.336 +0800,2024-12-14 10:14:43.097 +0800
2279059,20,5.08,3.13,3,2024-12-14 13:49:40.216 +0800,2024-12-14 11:55:59.029 +0800,2024-12-14 13:49:42.133 +0800,2024-12-14 14:22:43.140 +0800
2279061,20,7.73,5.53,3,2024-12-14 11:48:25.049 +0800,2024-12-14 11:20:00.949 +0800,2024-12-14 11:48:26.531 +0800,2024-12-14 12:11:08.324 +0800
2279062,30,11.3,1.58,,,,,
2279063,30,5.61,1.42,,,,,
2279064,20,5.32,0.8,2,2024-12-14 09:39:30.375 +0800,2024-12-14 09:35:48.968 +0800,2024-12-14 09:39:31.838 +0800,2024-12-14 09:49:06.630 +0800
2279065,20,12.96,4.71,2,2024-12-14 10:29:28.021 +0800,2024-12-14 09:50:16.039 +0800,2024-12-14 10:29:29.688 +0800,2024-12-14 11:08:40.822 +0800
2279066,30,3.73,2.3,,,,,
2279068,20,6.0,2.82,2,2024-12-14 11:47:40.108 +0800,2024-12-14 11:17:08.523 +0800,2024-12-14 11:47:41.083 +0800,2024-12-14 12:03:14.233 +0800
2279069,20,10.26,6.42,2,2024-12-14 10:01:47.942 +0800,2024-12-14 09:46:59.473 +0800,2024-12-14 10:01:49.340 +0800,2024-12-14 10:36:45.526 +0800
2279070,20,3.22,2.2,3,2024-12-14 11:06:33.807 +0800,2024-12-14 11:01:51.231 +0800,2024-12-14 11:06:35.103 +0800,2024-12-14 11:27:55.229 +0800
